,job_title,company_name,location,summary,salary
669,"Vice President, Engineering",FastPay,"Los Angeles, CA 90048","The FastPay engineering team builds the technology and data to challenge legacy data models in consumer, business and investment management....",Nothing_found
670,Hadoop and Managing Big Data Instructor,UCLA Extension,"Los Angeles, CA","Course disciplines cybersecurity, data science and applications programming subject areas. Hadoop and Managing Big Data â€“ Los Angeles, CA....",Nothing_found
671,"Data Structures and Design Patterns in C# Instructor, UCLA Extension",UCLA Extension,"Los Angeles, CA","Cybersecurity, data science, and applications programming subject areas. Data Structures and Design Patterns in C# - Online....",Nothing_found
678,Director of DevOps,Hyperloop One,"Los Angeles, CA","BS or MS Degree in Computer Science or equivalent field. Experience managing teams to deploy extensive database and data warehouse functions to public (AWS,...",Nothing_found
679,"Information Systems Director, Finance and Supply Chain",Dollar Shave Club,"Marina del Rey, CA 90292","Bachelorâ€™s degree in Engineering, Computer/Information Sciences, Business Administration or any other equivalent field....",Nothing_found
680,Brand Director,Soylent,"Los Angeles, CA",Strong analytical skills and the ability to tell stories from data. Ability to sift through large amounts of data and determine the key pieces to help make a...,Nothing_found
681,Media Activation Director (Programmatic),Essence,"Los Angeles, CA 90015","Essence, part of GroupM, is a data-driven global agency that blends data science, objective media and captivating experiences to build valuable connections...",Nothing_found
682,"Director of Curatorial Affairs, GRAMMY Museum",The Recording Academy,"Los Angeles, CA 90015","Museum Studies, Museum Science, History, Material Culture or related field. Exceptional skills in effectively organizing, diplomatically controlling, and...",Nothing_found
684,"Manager, Data Science - Digital Marketing",Sony Pictures Entertainment Inc.,"Culver City, CA 90232","Manager, Data Science - Digital Marketing. The Data Science Managerâ€™s responsibilities are split between two major areas:....",Nothing_found
685,"ASSISTANT DIRECTOR, BUREAU OPERATIONS, SHERIFF/CHIEF DATA OFFICER",Los Angeles County Human Resources,"Los Angeles County, CA","From an accredited college or university with a specialization in Business Administration, Computer Science, Data Science, Information Science or a related...",Nothing_found
